DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,cod_departamento,cod_municipio,region,FEX_C,cant_hog_completos,cant_hogares_vivienda,clase,tipo_vivienda
8371581,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371582,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371583,1,1,1,Caldas,Manizales,Central,"37,63769208",1,1,Centro poblado / Rural disperso,Casa
8371584,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371585,1,1,1,Caldas,Manizales,Central,"34,52426867",1,1,Centro poblado / Rural disperso,Cuarto(s)
8371586,1,1,1,Caldas,Manizales,Central,"35,05662185",1,1,Centro poblado / Rural disperso,Casa
8371587,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8371588,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371589,1,1,1,Caldas,Manizales,Central,"37,63769208",1,1,Centro poblado / Rural disperso,Apartamento
8371590,1,1,1,Caldas,Manizales,Central,"34,52426867",1,1,Centro poblado / Rural disperso,Cuarto(s)
8371592,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371595,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371596,1,1,1,Caldas,Manizales,Central,"37,1528315",1,1,Centro poblado / Rural disperso,Apartamento
8371597,1,1,1,Caldas,Villamaría,Central,"47,31195774",1,1,Centro poblado / Rural disperso,Casa
8371598,1,1,1,Caldas,Villamaría,Central,"96,29709387",1,1,Centro poblado / Rural disperso,Casa
8371599,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8371600,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8371601,1,1,1,Caldas,Villamaría,Central,"34,98163977",1,1,Centro poblado / Rural disperso,Casa
8371602,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8371603,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8371605,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8371606,1,1,1,Caldas,Villamaría,Central,"24,07427347",1,1,Centro poblado / Rural disperso,Casa
8375779,1,1,1,Caldas,Manizales,Central,"155,1806853",1,1,Cabecera,Casa
8375780,1,1,1,Caldas,Manizales,Central,"264,5125317",1,1,Cabecera,Apartamento
8375781,1,1,1,Caldas,Manizales,Central,"177,6212949",1,1,Cabecera,Casa
8375782,1,1,1,Caldas,Manizales,Central,"308,5518616",1,1,Cabecera,Apartamento
8375783,1,1,1,Caldas,Manizales,Central,"150,3485862",1,1,Cabecera,Cuarto(s)
8375784,1,1,1,Caldas,Manizales,Central,"281,0880682",1,1,Cabecera,Apartamento
8375785,1,1,1,Caldas,Manizales,Central,"185,0913443",1,1,Cabecera,Apartamento
8375786,1,1,1,Caldas,Manizales,Central,"187,0189731",1,1,Cabecera,Apartamento
8375788,1,1,1,Caldas,Manizales,Central,"138,4483255",1,1,Cabecera,Apartamento
8375789,1,1,1,Caldas,Marmato,Central,"68,04841382",1,1,Centro poblado / Rural disperso,Casa
8375790,1,1,1,Caldas,Marmato,Central,"85,31705742",1,1,Centro poblado / Rural disperso,Casa
8375791,1,1,1,Caldas,Marmato,Central,"44,45113341",1,1,Centro poblado / Rural disperso,Casa
8375792,1,1,1,Caldas,Marmato,Central,"44,45113341",1,1,Centro poblado / Rural disperso,Casa
8375793,1,1,1,Caldas,Marmato,Central,"68,04841382",1,1,Centro poblado / Rural disperso,Casa
8375795,1,1,1,Caldas,Marmato,Central,"104,7533944",1,1,Centro poblado / Rural disperso,Casa
8375806,1,1,1,Caldas,Villamaría,Central,"21,4172776",1,1,Centro poblado / Rural disperso,Casa
8375807,1,1,1,Caldas,Villamaría,Central,"85,6691104",1,1,Centro poblado / Rural disperso,Casa
8375808,1,1,1,Caldas,Villamaría,Central,"21,4172776",1,1,Centro poblado / Rural disperso,Casa
8375809,1,1,1,Caldas,Villamaría,Central,"21,4172776",1,1,Centro poblado / Rural disperso,Casa
8375810,1,1,1,Caldas,Villamaría,Central,"21,4172776",1,1,Centro poblado / Rural disperso,Casa
8375811,1,1,1,Caldas,Villamaría,Central,"41,10714312",1,1,Centro poblado / Rural disperso,Casa
8375812,1,1,1,Caldas,Villamaría,Central,"21,4172776",1,1,Centro poblado / Rural disperso,Casa
8375813,1,1,1,Caldas,Villamaría,Central,"70,85492226",1,1,Centro poblado / Rural disperso,Casa
8375814,1,1,1,Caldas,Villamaría,Central,"50,47188575",1,1,Centro poblado / Rural disperso,Casa
8376865,1,1,1,Caldas,Manizales,Central,"146,9920584",1,1,Cabecera,Casa
8376866,1,1,1,Caldas,Manizales,Central,"159,0602024",1,1,Cabecera,Apartamento
8376868,1,1,1,Caldas,Manizales,Central,"247,5313942",1,1,Cabecera,Apartamento
8376870,1,1,1,Caldas,Manizales,Central,"669,6193522",1,1,Cabecera,Apartamento
8376871,1,1,1,Caldas,Manizales,Central,"339,4070478",1,1,Cabecera,Apartamento
8376872,1,1,1,Caldas,Manizales,Central,"289,646025",1,1,Cabecera,Casa
8376873,1,1,1,Caldas,Manizales,Central,"196,7349526",1,1,Cabecera,Casa
8376874,1,1,1,Caldas,Manizales,Central,"484,8365974",1,1,Cabecera,Apartamento
8376875,1,1,1,Caldas,Manizales,Central,"167,4048381",1,1,Cabecera,Cuarto(s)
8376876,1,1,1,Caldas,Marmato,Central,"47,63388968",1,1,Centro poblado / Rural disperso,Casa
8376877,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Casa
8376878,1,1,1,Caldas,Marmato,Central,"91,40115778",1,1,Centro poblado / Rural disperso,Casa
8376879,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Apartamento
8376880,1,1,1,Caldas,Marmato,Central,"33,92183803",1,1,Centro poblado / Rural disperso,Casa
8376881,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Casa
8376882,1,1,1,Caldas,Manizales,Central,"52,85178446",1,1,Centro poblado / Rural disperso,Cuarto(s)
8376883,1,1,1,Caldas,Villamaría,Central,"68,18586161",1,1,Centro poblado / Rural disperso,Casa
8376884,1,1,1,Caldas,Villamaría,Central,"28,00949125",1,1,Centro poblado / Rural disperso,Casa
8376885,1,1,1,Caldas,Villamaría,Central,"112,037965",1,1,Centro poblado / Rural disperso,Casa
8376886,1,1,1,Caldas,Villamaría,Central,"28,00949125",1,1,Centro poblado / Rural disperso,Casa
8376887,1,1,1,Caldas,Villamaría,Central,"28,00949125",1,1,Centro poblado / Rural disperso,Casa
8376889,1,1,1,Caldas,Villamaría,Central,"62,82801522",1,1,Centro poblado / Rural disperso,Casa
8376890,1,1,1,Caldas,Villamaría,Central,"28,00949125",1,1,Centro poblado / Rural disperso,Casa
8376891,1,1,1,Caldas,Villamaría,Central,"32,91742035",1,1,Centro poblado / Rural disperso,Casa
8376892,1,1,1,Caldas,Villamaría,Central,"28,00949125",1,1,Centro poblado / Rural disperso,Casa
8377426,1,1,1,Caldas,Manizales,Central,"266,6403263",1,1,Cabecera,Apartamento
8377428,1,1,1,Caldas,Manizales,Central,"533,9535021",1,1,Cabecera,Apartamento
8377430,1,1,1,Caldas,Manizales,Central,"664,4090954",1,1,Cabecera,Apartamento
